1	7	10	900	917	5100	881	0.85270021735496
2	1	7	170	178	2105	3848	0.35360322526457
3	3	6	650	659	2817	3148	0.47225481978206
4	6	6	150	162	2916	3101	0.48462689047698
5	1	8	170	179	2314	3708	0.38425772168715
6	4	7	740	751	3635	2345	0.60785953177258
7	7	3	450	460	2715	3278	0.45302853328884
8	5	2	180	187	2052	4031	0.33733355252343
9	2	6	170	178	2219	3764	0.37088417182016
10	3	4	80	87	2011	4019	0.3334991708126
11	3	8	740	751	3396	2556	0.57056451612903
12	7	6	530	543	3615	2391	0.6018981018981
13	7	4	640	651	3364	2518	0.57191431485889
14	4	5	550	559	2821	3131	0.47395833333333
15	5	6	450	461	3149	2753	0.53354794984751
16	7	9	900	916	5112	934	0.84551769765134
17	2	1	290	293	1671	4404	0.27506172839506
18	1	5	780	786	2052	3905	0.34446869229478
19	7	10	900	917	5065	838	0.85803828561748
20	7	2	840	849	3404	2687	0.5588573304876
21	7	4	60	71	2448	3669	0.40019617459539
22	4	4	460	468	2563	3374	0.43169951153781
23	3	7	450	460	2978	3117	0.48859721082855
24	3	9	450	462	3228	2694	0.5450861195542
25	2	1	680	683	1853	4072	0.31274261603376
26	5	10	420	435	3956	2046	0.6591136287904
27	1	6	570	577	2069	3851	0.34949324324324
28	4	2	380	386	2162	3869	0.35848118056707
29	4	8	630	642	3730	2243	0.62447681232212
30	4	10	910	924	4209	1652	0.71813683671728
31	3	5	660	668	2682	3311	0.44752210912732
32	1	1	880	882	1766	4454	0.28392282958199
33	4	4	70	78	2206	3836	0.36511089043363
34	4	4	460	468	2530	3367	0.42903171103951
35	6	4	930	940	3980	2051	0.65992372740839
36	6	9	700	715	4582	1408	0.76494156928214
37	5	9	140	154	3540	2446	0.5913798864016
38	5	8	240	253	3595	2498	0.5900213359593
39	1	3	390	394	1708	4297	0.28442964196503
40	7	5	450	462	3259	2841	0.53426229508197
41	4	5	650	659	3015	2981	0.50283522348232
42	2	5	860	867	2388	3442	0.40960548885077
43	3	10	830	843	3757	2283	0.62201986754967
44	7	4	550	561	3121	2777	0.52916242794168
45	6	1	180	187	2020	4071	0.33163684124118
46	5	7	440	452	3357	2594	0.56410687279449
47	7	6	910	923	4491	1578	0.73999011369254
48	3	5	270	278	2466	3595	0.406863553869
49	4	3	270	277	2170	3852	0.36034540019927
50	6	9	800	815	4713	1313	0.78211085297046
51	3	10	830	843	3612	2221	0.61923538487914
52	3	7	750	760	3193	2919	0.52241492146597
53	7	4	450	461	2928	3004	0.49359406608227
54	2	2	580	584	1938	4000	0.32637251599865
55	5	9	610	624	4309	1749	0.71129085506768
56	6	5	250	261	2866	3251	0.46853032532287
57	3	8	940	951	3658	2444	0.59947558177647
58	6	5	450	461	3024	2883	0.51193499238192
59	2	10	50	62	2734	3382	0.44702419882276
60	6	10	510	526	4489	1611	0.73590163934426
61	2	4	960	966	2411	3460	0.41066257877704
62	2	8	260	270	2620	3450	0.43163097199341
63	6	10	800	816	4867	1246	0.79617209226239
64	6	9	420	435	4123	1918	0.68250289687138
65	4	1	670	675	2350	3616	0.39389875963795
66	6	3	170	179	2320	3654	0.38834951456311
67	2	10	650	662	3019	2894	0.51056993066125
68	2	1	390	393	1773	4138	0.2999492471663
69	7	5	350	362	3029	3022	0.50057841679061
70	2	4	80	86	1888	4246	0.30779263123574
71	1	10	560	571	2509	3462	0.42019762183889
72	4	5	70	79	2386	3700	0.39204732172198
73	5	1	760	766	2659	3355	0.44213501829066
74	6	10	20	36	3814	2233	0.63072597982471
75	2	7	650	659	2697	3198	0.45750636132316
76	3	1	770	774	2291	3760	0.37861510494133
77	6	10	220	236	4004	1958	0.67158671586716
78	1	8	170	179	2260	3751	0.37597737481284
79	6	6	630	642	3811	2436	0.61005282535617
80	2	1	680	683	1937	4124	0.31958422702524
81	7	10	500	517	4444	1427	0.75694089592914
82	5	5	160	170	2514	3367	0.4274783200136
